company,director,genre,name
Cristaldifilm,Giuseppe Tornatore,Drama,Cinema Paradiso
TriStar Pictures,Chuck Russell,Horror,The Blob
De Laurentiis Entertainment Group (DEG),Stan Winston,Fantasy,Pumpkinhead
Metro-Goldwyn-Mayer (MGM),Charles Crichton,Comedy,A Fish Called Wanda
Sarlui / Diamant,Stephen Chiodo,Comedy,Killer Klowns from Outer Space
Universal Pictures,Martin Brest,Action,Midnight Run
Film Futures,Tony Randel,Horror,Hellbound: Hellraiser II
Orion Pictures,Alan Parker,Crime,Mississippi Burning
Paramount Pictures,David Zucker,Comedy,The Naked Gun: From the Files of Police Squad!
Cannon International,Newt Arnold,Action,Bloodsport
Twentieth Century Fox Film Corporation,Mike Nichols,Comedy,Working Girl
Paramount Pictures,John Cornell,Action,Crocodile Dundee II
Universal Pictures,Don Bluth,Animation,The Land Before Time
Universal Pictures,Ivan Reitman,Comedy,Twins
Lorimar Film Entertainment,Stephen Frears,Drama,Dangerous Liaisons
The Saul Zaentz Company,Philip Kaufman,Drama,The Unbearable Lightness of Being
Gaumont,Luc Besson,Adventure,The Big Blue
All Girl Productions,Garry Marshall,Comedy,Beaches
Trancas International Films,Dwight H. Little,Horror,Halloween 4: The Return of Michael Myers
Morgan Creek Productions,Christopher Cain,Action,Young Guns
Carolco Pictures,Walter Hill,Action,Red Heat
Night Life Inc.,Donald Petrie,Comedy,Mystic Pizza
Carolco Pictures,Peter MacDonald,Action,Rambo III
Paramount Pictures,Jonathan Kaplan,Drama,Acusados
Universal Pictures,Martin Scorsese,Drama,The Last Temptation of Christ
New Line Cinema,John Waters,Comedy,Hairspray
Orion Pictures,Frank Oz,Comedy,Dirty Rotten Scoundrels
New Line Cinema,Renny Harlin,Horror,A Nightmare on Elm Street 4: The Dream Master
American Playhouse,Ramón Menéndez,Drama,Stand and Deliver
Hughes Entertainment,Howard Deutch,Comedy,The Great Outdoors
DDM Film Corporation,Zalman King,Drama,Two Moon Junction
The Mount Company,Ron Shelton,Comedy,Bull Durham
Warner Bros.,Andrew Davis,Action,Above the Law
De Laurentiis Entertainment Group (DEG),Julien Temple,Comedy,Earth Girls Are Easy
Walt Disney Feature Animation,George Scribner,Animation,Oliver & Company
Warner Bros.,Buddy Van Horn,Action,The Dead Pool
NBC Productions,James Signorelli,Comedy,Elvira: Mistress of the Dark
Paramount Pictures,Richard Donner,Comedy,Scrooged
Cinema City Films,Robert Towne,Crime,Tequila Sunrise
Warner Bros.,Roman Polanski,Crime,Frantic
Paramount Pictures,John Carl Buechler,Horror,Friday the 13th Part VII: The New Blood
Twentieth Century Fox Film Corporation,Greg Beeman,Comedy,License to Drive
Prominent Features,Terry Gilliam,Adventure,The Adventures of Baron Munchausen
Morgan Creek Productions,David Cronenberg,Drama,Dead Ringers
Metro-Goldwyn-Mayer (MGM),Gary Sherman,Horror,Poltergeist III
Vista Organization,Tommy Lee Wallace,Comedy,Fright Night Part 2
Front Films,Keenen Ivory Wayans,Action,I'm Gonna Git You Sucka
Zacharias-Buhai Productions,Bud S. Smith,Comedy,Johnny Be Good
Shapiro-Glickenhaus Entertainment,William Lustig,Action,Maniac Cop
Orion Pictures,Jonathan Demme,Comedy,Married to the Mob
Orion Pictures,Dennis Hopper,Action,Colors
Vision PDG,Neil Jordan,Comedy,El Hotel de los Fantasmas
Double Play,Sidney Lumet,Crime,Running on Empty
Blue Rider Pictures,Kevin Tenney,Comedy,Night of the Demons
Mac and Me Joint Venture,Stewart Raffill,Adventure,Mac and Me
New Line Cinema,Mick Garris,Comedy,Critters 2
Weintraub Entertainment Group,Richard Benjamin,Comedy,My Stepmother Is an Alien
Lorimar Film Entertainment,Ken Wiederhorn,Comedy,Return of the Living Dead II
TriStar Pictures,Kenneth Johnson,Comedy,Short Circuit 2
Universal Pictures,Michael Apted,Biography,Gorillas in the Mist
Magellan Pictures,Robert Bierman,Comedy,Vampire's Kiss
Island Pictures,William Richert,Comedy,A Night in the Life of Jimmy Reardon
Metro-Goldwyn-Mayer (MGM),Michael Hoffman,Comedy,Some Girls
White Lair,Ken Russell,Comedy,The Lair of the White Worm
Vestron Pictures,Anthony Hickox,Comedy,Waxwork
Universal Pictures,Wes Craven,Fantasy,The Serpent and the Rainbow
Columbia Pictures Corporation,Ken Annakin,Family,Las travesuras de una pelirojja
Orion Pictures,John Sayles,Drama,Eight Men Out
New Sky Communications Inc.,Frank LaLoggia,Fantasy,Lady in White
Laurenfilm,Pedro Almodóvar,Comedy,Women on the Verge of a Nervous Breakdown
Paramount Pictures,John Hughes,Comedy,She's Having a Baby
Spacegate Productions,Don Coscarelli,Action,Phantasm II
United Artists,James Bridges,Drama,Luces de una gran ciudad
Paramount Pictures,Peter Hyams,Action,The Presidio
Touchstone Pictures,Jim Abrahams,Comedy,Big Business
Orion Pictures,George A. Romero,Drama,Monkey Shines
Cornelius Productions,George Roy Hill,Comedy,Funny Farm
Incorporated Television Company (ITC),Thom Eberhardt,Comedy,Without a Clue
American Entertainment Partners II L.P.,Graham Baker,Action,Alien Nation
Atlantic Entertainment Group,Ernest Thompson,Drama,1969
Cinetel Films,Robert Englund,Comedy,976-EVIL
Lorimar Film Entertainment,Craig R. Baxley,Action,Action Jackson
Esparza,Robert Redford,Comedy,The Milagro Beanfield War
Lucasfilm,Francis Ford Coppola,Biography,Tucker: The Man and His Dream
Warner Bros.,Alan Myerson,Comedy,Police Academy 5: Assignment: Miami Beach
Columbia Pictures Corporation,Spike Lee,Comedy,School Daze
Columbia Pictures Corporation,Brian Gilbert,Comedy,Vice Versa
Hemdale,Steve De Jarnatt,Action,Miracle Mile
Forum Sarajevo,Emir Kusturica,Comedy,Time of the Gypsies
Warner Bros.,Lawrence Kasdan,Drama,The Accidental Tourist
Zanuck/Brown Productions,Daniel Petrie,Adventure,Cocoon: The Return
A&M; Films,Kevin Reynolds,War,The Beast of War
Producers Representative Organization,Martin Donovan,Drama,Apartment Zero
TriStar Pictures,Carl Schultz,Drama,The Seventh Sign
Metro-Goldwyn-Mayer (MGM),Bob Swaim,Drama,Masquerade
Jack Rollins & Charles H. Joffe Productions,Woody Allen,Drama,Another Woman
"Malpaso Company, The",Clint Eastwood,Biography,Bird
Film Four International,Peter Greenaway,Comedy,Drowning by Numbers
Cannon Entertainment,Fred Schepisi,Drama,A Cry in the Dark
Rastar Pictures,Mike Nichols,Comedy,Biloxi Blues
Cineplex-Odeon Films,Oliver Stone,Drama,Talk Radio
Price,Jean-Jacques Annaud,Adventure,The Bear
Jascat,Geneviève Robert,Comedy,Casual Sex?
"Guber-Peters Company, The",Allan Arkush,Comedy,Caddyshack II
Imagine Entertainment,Ken Kwapis,Adventure,Vibes
Touchstone Pictures,Roger Spottiswoode,Action,Shoot to Kill
TriStar Pictures,John G. Avildsen,Comedy,For Keeps?
Warner Bros.,Yahoo Serious,Comedy,Young Einstein
Hemdale,Martin Campbell,Crime,Criminal Law
National Broadcasting Company (NBC),Joan Freeman,Comedy,Satisfaction
United Artists,Costa-Gavras,Drama,Betrayed
Imagine Films Entertainment,Glenn Gordon Caron,Drama,Clean and Sober
Concorde Pictures,Jon Hess,Action,Al borde del terror
Abramoff Production,Joseph Zito,Action,Escorpion rojo
Bigelow Productions,Annabel Jankel,Mystery,D.O.A.
Golan-Globus Productions,Michael Winner,Crime,Appointment with Death
Cadrage,Mira Nair,Crime,Salaam Bombay!
TriStar Pictures,Peter Markle,Drama,Bat*21
Burrowes Film Group,Geoff Burrowes,Adventure,Return to Snowy River
Aspen Film Society,Paul Golding,Horror,Pulse
The Mount Company,Steven Kampmann,Drama,Stealing Home
Warner Bros.,Alan Metter,Comedy,Moving
New World Entertainment Films,Paul Flaherty,Comedy,18 Again!
Weintraub Entertainment Group,David Anspaugh,Drama,Fresh Horses
New Line Cinema,Paul Bogart,Comedy,Torch Song Trilogy
Helpern / Meltzer,Mark Goldblatt,Action,Dead Heat
Miracle Pictures,Jim Wynorski,Comedy,Not of This Earth
Columbia Pictures Corporation,Richard Benjamin,Drama,Little Nikita
Columbia Pictures Corporation,David Seltzer,Comedy,Punchline
Silver Screen Partners III,Ferdinand Fairfax,Action,The Rescue
"Cannon Group, The",Aaron Norris,Action,Braddock: Missing in Action III
Carolco Pictures,Sidney J. Furie,Action,Iron Eagle II
Les Films Christian Fechner,Bruno Nuytten,Biography,Camille Claudel
Paramount Pictures,Randal Kleiser,Adventure,Big Top Pee-wee
Atlantic Entertainment Group,Mike Figgis,Crime,Stormy Monday
Management Company Entertainment Group (MCEG),Keith Gordon,Drama,The Chocolate War
In-Gear Film Production,Kar-Wai Wong,Crime,As Tears Go By
Metro-Goldwyn-Mayer (MGM),Janet Greek,Drama,Spellbinder
Hemdale,Harold Becker,Drama,The Boost
Universal Pictures,Paul Mazursky,Comedy,Moon Over Parador
Touchstone Pictures,John R. Cherry III,Comedy,Ernest Saves Christmas
Atlantic Entertainment Group,Chris Menges,Drama,A World Apart
Atlantic Entertainment Group,James B. Harris,Crime,Cop
"Movie Group, The",David Green,Comedy,Buster
Warner Bros.,Joan Micklin Silver,Comedy,Crossing Delancey
Working Title Films,Bernard Rose,Drama,Paperhouse
MTM Enterprises,Robert Mulligan,Drama,Clara's Heart
Shapiro-Glickenhaus Entertainment,James Glickenhaus,Action,Shakedown
Orion Pictures,Michael Ritchie,Comedy,The Couch Trip
Col.Ima.Son,René Laloux,Animation,Gandahar
Paramount Pictures,Marisa Silver,Drama,Permanent Record
TriStar Pictures,Pen Densham,Drama,The Kiss
CB Films,Catherine Breillat,Romance,36 fillette
Golan-Globus Productions,William Tannen,Action,Hero and the Terror
Warner Bros.,Michael Dinner,Comedy,Hot to Trot
New Visions,Taylor Hackford,Drama,Everybody's All-American
Sheen/Greenblatt Productions,Leo Penn,Drama,Judgement in Berlin
Vestron Pictures,Roger Vadim,Comedy,And God Created Woman
British Screen Productions,Mike Leigh,Comedy,High Hopes
Touchstone Pictures,Leonard Nimoy,Drama,The Good Mother
Cecchi Gori Group Tiger Cinematografica,Blake Edwards,Crime,Sunset
Working Title Films,Martin Stellman,Crime,For Queen & Country
Virgin Vision,Matthew Chapman,Drama,Heart of Midnight
Columbia Pictures Corporation,Daniel Petrie,Drama,Rocket Gibraltar
Cinema Group,Rowdy Herrington,Crime,Jack's Back
De Laurentiis Entertainment Group (DEG),Bill Fishman,Comedy,Tapeheads
Compact Yellowbill,Charles Sturridge,Drama,A Handful of Dust
HandMade Films,Nicolas Roeg,Drama,Track 29
Golan-Globus Productions,Boaz Davidson,Romance,Salsa
No Frills Film Production,Andrew Fleming,Horror,Bad Dreams
Columbia Pictures Corporation,Pat O'Connor,Comedy,Stars and Bars
United Artists,David Beaird,Comedy,It Takes Two
Atlantic Entertainment Group,Paul Schrader,Biography,Patty Hearst
Warner Bros.,Bud Yorkin,Comedy,Arthur 2: On the Rocks
Silver Screen Partners III,Chris Columbus,Comedy,Heartbreak Hotel
MK2 Productions,Claude Chabrol,Drama,Story of Women
Force 10 Productions (I),Mark Rosenthal,Comedy,The In Crowd
Metro-Goldwyn-Mayer (MGM),Donald P. Bellisario,Action,Last Rites
"Cannon Group, The",J. Lee Thompson,Action,Messenger of Death
Cannon International,Aaron Norris,War,Platoon Leader
Nelson Entertainment,Alan Rudolph,Comedy,The Moderns
TriStar Pictures,Ted Kotcheff,Comedy,Switching Channels
Caroline Productions,Claire Denis,Drama,Chocolat
Island Pictures,Caleb Deschanel,Drama,Crusoe
British Film Institute (BFI),Terence Davies,Drama,"Distant Voices, Still Lives"
Incorporated Television Company (ITC),Piers Haggard,Drama,A Summer Story
Not specified,Danny Bilson,Comedy,The Wrong Guys
Twentieth Century Fox Film Corporation,Christopher Crowe,Action,Off Limits
Warner Bros.,Daniel Goldberg,Comedy,Feds
Orion Pictures,Peter Yates,Thriller,The House on Carroll Street
United British Artists (UBA),Francis Megahy,Action,Taffin
Orion Pictures,Robert M. Young,Drama,Dominick and Eugene
Jolly Russell Productions,Ken Russell,Biography,Salome's Last Dance
Crescent Moon,Peter Bogdanovich,Comedy,Illegally Yours
Continental Film Group Ltd.,Amin Q. Chaudhri,Drama,Tiger Warsaw
Trans World Entertainment (TWE),David Stevens,Crime,Kansas
Heritage Entertainment Inc.,Danny Huston,Comedy,Mr. North
Vestron Pictures,Camilo Vila,Horror,The Unholy
Braveworld Productions,Gary Sinise,Action,Miles from Home
Columbia Pictures Corporation,David Mamet,Comedy,Things Change
Cinetel Films,Steve Carver,Action,Bulletproof
Metro-Goldwyn-Mayer (MGM),Henry Winkler,Comedy,Memories of Me
Brightstar Films,Robert Greenwald,Comedy,Sweet Hearts Dance
Cinetel Films,Michael Schroeder,Comedy,Out of the Dark
Merchant Ivory Productions,Nicholas Meyer,Adventure,The Deceivers
Smart Egg Pictures,Armand Mastroianni,Horror,Cameron's Closet
Arenafilm,Vincent Ward,Action,The Navigator: A Medieval Odyssey
"Vista Organisation, The",David Beaird,Comedy,Pass the Ammo
Touchstone Pictures,Peter Weir,Comedy,Dead Poets Society
Warner Bros.,Tim Burton,Action,Batman
Paramount Pictures,Mary Lambert,Horror,Pet Sematary
Paramount Pictures,Steven Spielberg,Action,Indiana Jones and the Last Crusade
Walt Disney Pictures,Ron Clements,Animation,The Little Mermaid
Warner Bros.,Andrey Konchalovskiy,Action,Tango & Cash
Silver Pictures,Rowdy Herrington,Action,Road House
Warner Bros.,Jeremiah S. Chechik,Comedy,National Lampoon's Christmas Vacation
De Laurentiis Entertainment Group (DEG),Stephen Herek,Adventure,Bill & Ted's Excellent Adventure
Gordon Company,Phil Alden Robinson,Drama,Field of Dreams
Universal Pictures,Robert Zemeckis,Adventure,Back to the Future Part II
Twentieth Century Fox Film Corporation,James Cameron,Adventure,The Abyss
Universal Pictures,John Hughes,Comedy,Uncle Buck
40 Acres & A Mule Filmworks,Spike Lee,Comedy,Do the Right Thing
Gladden Entertainment,Ted Kotcheff,Adventure,Weekend at Bernie's
TriStar Pictures,Edward Zwick,Biography,Glory
Castle Rock Entertainment,Rob Reiner,Comedy,When Harry Met Sally...
TriStar Pictures,Herbert Ross,Comedy,Steel Magnolias
Columbia Pictures Corporation,Ivan Reitman,Action,Ghostbusters II
Gracie Films,Cameron Crowe,Comedy,Say Anything...
TriStar Pictures,Amy Heckerling,Comedy,Look Who's Talking
Filmauro,George P. Cosmatos,Adventure,Leviathan
Buena Vista Pictures,Joe Johnston,Adventure,"Honey, I Shrunk the Kids"
Mirage Enterprises,David S. Ward,Comedy,Major League
Ixtlan,Oliver Stone,Biography,Born on the Fourth of July
Columbia Pictures Corporation,John G. Avildsen,Action,The Karate Kid Part III
Imagine Entertainment,Joe Dante,Comedy,The 'Burbs
Imagine Entertainment,Ron Howard,Comedy,Parenthood
Warner Bros.,Richard Donner,Action,Lethal Weapon 2
Danjaq,John Glen,Action,Licence to Kill
Vision PDG,Zalman King,Drama,Wild Orchid
Ferndale Films,Jim Sheridan,Biography,My Left Foot
Davis Entertainment,Richard Greenberg,Adventure,Little Monsters
Universal Pictures,Steven Spielberg,Fantasy,Always
Outlaw Productions (I),Steven Soderbergh,Drama,"Sex, Lies, and Videotape"
Norman Twain Productions,John G. Avildsen,Drama,Lean on Me
Allarts,Peter Greenaway,Crime,"The Cook, the Thief, His Wife & Her Lover"
Paramount Pictures,William Shatner,Action,Star Trek V: The Final Frontier
"Zanuck Company, The",Bruce Beresford,Drama,Driving Miss Daisy
David Foster Productions,Graeme Clifford,Action,Gleaming the Cube
Columbia Pictures Corporation,Brian De Palma,Crime,Casualties of War
Trans World Entertainment (TWE),Dorian Walker,Comedy,Teen Witch
TriStar Pictures,Arthur Hiller,Comedy,"See No Evil, Hear No Evil"
Kings Road Entertainment,Mark DiSalle,Action,Kickboxer
New Line Cinema,Stephen Hopkins,Fantasy,A Nightmare on Elm Street 5: The Dream Child
Magnum Pictures Inc.,Dominique Othenin-Girard,Horror,Halloween 5
Touchstone Pictures,Roger Spottiswoode,Comedy,Turner & Hooch
Kennedy Miller Productions,Phillip Noyce,Horror,Terror a bordo
Paramount Pictures,Rob Hedden,Adventure,Friday the 13th Part VIII: Jason Takes Manhattan
Eddie Murphy Productions,Eddie Murphy,Comedy,Harlem Nights
Paramount Pictures,Ridley Scott,Action,Black Rain
Goldcrest Films International,Don Bluth,Animation,All Dogs Go to Heaven
Cannon Entertainment,Albert Pyun,Action,Cyborg
Universal Pictures,Michael Ritchie,Comedy,Fletch Lives
Finnegan/Pinchuk Productions,Todd Holland,Adventure,The Wizard
Twentieth Century Fox Film Corporation,Danny DeVito,Comedy,The War of the Roses
Renaissance Films,Kenneth Branagh,Action,Henry V
Fries Entertainment,Jeff Kanew,Adventure,Troop Beverly Hills
Universal Pictures,Harold Becker,Crime,Sea of Love
"Movie Group, The",Robert Radler,Action,Best of the Best
Brooksfilms,Chris Walas,Horror,The Fly II
Lightning Pictures,Kathryn Bigelow,Action,Blue Steel
Crescent Film Enterprises,Joan Micklin Silver,Comedy,Loverboy
Renn Productions,Milos Forman,Drama,Valmont relaciones peligrosas
Avenue Pictures,Gus Van Sant,Crime,Drugstore Cowboy
"Deseo, El",Pedro Almodóvar,Comedy,Tie Me Up! Tie Me Down!
Lightning Pictures,Marc Rocco,Comedy,Dream a Little Dream
New World Pictures,Steve Miner,Action,Warlock
TMS Entertainment,Masami Hata,Family,Little Nemo: Adventures in Slumberland
Alliance Communications Corporation,Jean-Claude Lord,Drama,Eddie and the Cruisers II: Eddie Lives!
White Eagle,John Flynn,Crime,Lock Up
High Bar Productions,Jim Wheat,Horror,After Midnight
First Millenium Partnership,Michael Anderson,Drama,Millennium
Cinecorp SAC,Jay Levey,Comedy,UHF
Gladden Entertainment,Steve Kloves,Drama,The Fabulous Baker Boys
Palace Pictures,Zelda Barron,Comedy,Shag
Jack Rollins & Charles H. Joffe Productions,Woody Allen,Comedy,Crimes and Misdemeanors
JVC Entertainment Networks,Jim Jarmusch,Comedy,Mystery Train
Orion Pictures,Jim McBride,Biography,Great Balls of Fire!
Carolco Entertainment,Sean S. Cunningham,Action,DeepStar Six
Alive Films,Wes Craven,Comedy,Shocker
Touchstone Pictures,Francis Veber,Action,Three Fugitives
Paramount Pictures,Lewis Gilbert,Comedy,Shirley Valentine
TriStar Pictures,Phillip Noyce,Action,Blind Fury
Lorimar Film Entertainment,John Irvin,Action,Next of Kin
Touchstone Pictures,Woody Allen,Comedy,New York Stories
Empire Pictures,Stuart Gordon,Action,Robot Jox
Universal Pictures,Howard Zieff,Comedy,The Dream Team
Orion Pictures,Susan Seidelman,Comedy,She-Devil
Lightyear Entertainment,Jim Wynorski,Sci-Fi,The Return of Swamp Thing
TriStar Pictures,Sidney Lumet,Crime,Family Business
Paramount Pictures,Neil Jordan,Comedy,We're No Angels
TriStar Pictures,Emile Ardolino,Comedy,Chances Are
Carolco Pictures,Walter Hill,Crime,Johnny Handsome
Gordon Company,Rod Daniel,Action,K-9
British Screen Productions,Michael Caton-Jones,Drama,Scandal
21st Century Film Corporation,Dwight H. Little,Drama,The Phantom of the Opera
Paramount Pictures,Roland Joffé,Biography,Fat Man and Little Boy
Interscope Communications,Peter Yates,Action,An Innocent Man
Malpaso Productions,Buddy Van Horn,Action,Pink Cadillac
Weintraub Entertainment Group,Stan Dragoti,Comedy,She's Out of Control
TriStar Pictures,Paul Flaherty,Comedy,Who's Harry Crumb?
New Line Cinema,Thomas J. Wright,Action,No Holds Barred
Beco Films,Blake Edwards,Comedy,Skin Deep
Sean S. Cunningham Films,James Isaac,Horror,The Horror Show
A&M; Films,Carl Schenkel,Action,The Mighty Quinn
Warner Bros.,Peter Bonerz,Comedy,Police Academy 6: City Under Siege
Amblin Entertainment,Gary David Goldberg,Drama,Dad
Allied Filmmakers,Uli Edel,Drama,Last Exit to Brooklyn
Kings Road Entertainment,David Webb Peoples,Action,The Blood of Heroes
Davros Films,Euzhan Palcy,Drama,A Dry White Season
Paramount Pictures,Joel Schumacher,Comedy,Cousins
Allied Vision,Philippe Mora,Biography,Communion
KB Erik the Viking,Terry Jones,Comedy,Erik the Viking
Great American Films Limited Partnership,Bob Balaban,Comedy,Parents
Aspen Film Society,Christopher Guest,Comedy,The Big Picture
Orion Pictures,Andrew Davis,Action,The Package
Beco Films,Nick Castle,Comedy,Tap
Trans World Entertainment (TWE),Tibor Takács,Fantasy,"I, Madman"
Metro-Goldwyn-Mayer (MGM),Pat O'Connor,Action,The January Man
Touchstone Pictures,Ron Shelton,Biography,Blaze
Paramount Pictures,Joe Pytka,Comedy,Let It Ride
Kings Road Entertainment,David Hugh Jones,Drama,Jacknife
Warner Bros.,Norman Jewison,Drama,In Country
American Playhouse,Norman René,Drama,Longtime Companion
Warner Bros.,Bruce Beresford,Comedy,Her Alibi
Entcorp Communications,Jim Drake,Comedy,Cannonball Fever
Incorporated Television Company (ITC),John Dahl,Action,Kill Me Again
Lorimar Film Entertainment,Michael Herz,Action,The Toxic Avenger Part II
Elrina Investment,Jamie Uys,Comedy,The Gods Must Be Crazy II
Larco Productions,Larry Cohen,Comedy,Wicked Stepmother
Carolco Pictures,Costa-Gavras,Crime,Music Box
Lightyear Entertainment,Joyce Chopra,Comedy,The Lemon Sisters
Cineplex-Odeon Films,John D. Hancock,Drama,Prancer
Paramount Pictures,Dave Thomas,Comedy,The Experts
Gary Sherman Productions,Gary Sherman,Drama,Lisa
Incorporated Television Company (ITC),Jeff Burr,Horror,Stepfather II
Columbia Pictures Corporation,Joseph Ruben,Drama,True Believer
Golan-Globus Productions,J. Lee Thompson,Action,Kinjite: Forbidden Subjects
London Weekend Television (LWT),Mel Smith,Comedy,The Tall Guy
Not specified,Martin Davidson,Drama,Heart of Dixie
Lorimar Film Entertainment,John Frankenheimer,Action,Dead Bang
Arenafilm,Jane Campion,Comedy,Sweetie
Action Features,Hal Hartley,Comedy,The Unbelievable Truth
Hill/Rosenman,Thom Eberhardt,Drama,Gross Anatomy
Breton Film Productions,Cedric Sundstrom,Action,American Ninja 3: Blood Hunt
HandMade Films,Bruce Robinson,Comedy,How to Get Ahead in Advertising
Vestron Pictures,Ken Russell,Action,The Rainbow
Troma Entertainment,Michael Herz,Action,The Toxic Avenger Part III: The Last Temptation of Toxie
Weintraub Entertainment Group,Douglas Day Stewart,Drama,Listen to Me
Castle Rock Entertainment,Ted Kotcheff,Drama,Winter People
Morgan Creek Productions,Paul Mazursky,Comedy,Enemies: A Love Story
Bandai Media Department,Takeshi Kitano,Action,Violent Cop
TriStar Pictures,Richard Baskin,Drama,Sing
Max Films Productions,Denys Arcand,Drama,Jesus of Montreal
Columbia Pictures Corporation,Luis Puenzo,Adventure,Old Gringo
Cine Location Services,John Milius,Action,Farewell to the King
Morgan Creek Productions,Jack Sholder,Action,Renegades
AM/PM Entertainment,Robert Ellis Miller,Adventure,Brenda Starr
A&M; Films,Will Mackenzie,Comedy,Worth Winning
Not specified,Lee Grant,Comedy,Staying Together
Not specified,Hugh Hudson,Drama,Lost Angels
Charlie Mopic,Patrick Sheane Duncan,Drama,84C MoPic
North Street Films,Paul Bartel,Comedy,Scenes from the Class Struggle in Beverly Hills
Concorde Pictures,Thierry Notz,Horror,The Terror Within
Paulist Pictures,John Duigan,Biography,Romero
Cinetel Films,William Lustig,Crime,Relentless
Initial Film and Television,Damian Harris,Drama,The Rachel Papers
Columbia Pictures Corporation,Jonathan Kaplan,Drama,Immediate Family
Budapest Stúdió Vállalat,Ildikó Enyedi,Comedy,My Twentieth Century
Kouf/Bigelow Productions,Jim Kouf,Action,Disorganized Crime
FM Entertainment,Larry Peerce,Biography,Wired
Nova International Films,Robert M. Young,Biography,Triumph of the Spirit
Cinéa,Patrice Leconte,Crime,Monsieur Hire
Aaron Russo Productions,David Greenwalt,Comedy,Rude Awakening
Hemdale,Mick Jackson,Biography,Chattahoochee
Twentieth Century Fox Film Corporation,Savage Steve Holland,Comedy,How I Got Into College
Lorimar Film Entertainment,Joel Zwick,Comedy,Second Sight
Breton Film Productions,Steve Carver,Adventure,River of Death
Corsair Pictures,Thomas Schlamme,Comedy,Miss Firecracker
Lorimar Film Entertainment,Alan J. Pakula,Drama,See You in the Morning
Columbia Pictures Corporation,Michael Crichton,Crime,Physical Evidence
Lorimar Film Entertainment,Susan Seidelman,Comedy,Cookie
American Playhouse Theatrical Films,Howard Brookner,Comedy,Bloodhounds of Broadway
HandMade Films,Jonathan Wacks,Drama,Powwow Highway
United Artists,Nancy Savoca,Comedy,True Love
Silver Screen Partners III,Jeff Blyth,Adventure,Cheetah
Cinéa,Coline Serreau,Comedy,"Mama, There's a Man in Your Bed"
Avenue Pictures,Robert Dornhelm,Comedy,Cold Feet
Allied Vision,Gérard Kikoïne,Horror,Edge of Sanity
Varney Productions,Michael A. Simpson,Comedy,Fast Food
Management Company Entertainment Group (MCEG),Randal Kleiser,Comedy,Getting It Right
Koch Company,Robert Wise,Action,Rooftops
Braunstein and Hamady Productions,Malcolm Mowbray,Comedy,Out Cold
Film Four International,Nick Broomfield,Drama,Dark Obsession
Gibraltar Entertainment,Andrew Lane,Crime,Mortal Passions
TriStar Pictures,James Ivory,Drama,Slaves of New York
Premiere Pictures Corporation,Rupert Hitzig,Horror,Night Visitor
Curzon Films,Michael Winner,Comedy,A Chorus of Disapproval
Cage Productions,Lang Elliott,Action,Cage
New Horizons Picture,Terence H. Winkless,Action,Bloodfist
Epic Productions,Peter Masterson,Thriller,Night Game
"Samuel Goldwyn Company, The",Bill Forsyth,Adventure,Breaking In
Channel Four Films,David Hare,Drama,Strapless
Hachette Première,Bertrand Tavernier,Drama,Life and Nothing But
Ciné Valse,Bertrand Blier,Comedy,Too Beautiful for You
Bayerischer Rundfunk (BR),Percy Adlon,Comedy,Rosalie Goes Shopping
Erre Produzioni,Jerzy Skolimowski,Drama,Torrents of Spring
Stock Films International,Jacques W. Benoit,Comedy,How to Make Love to a Negro Without Getting Tired
Eagle Film,Frank Zuniga,Action,Fist Fighter
Columbia Pictures Corporation,Franklin J. Schaffner,Drama,Welcome Home
Gathsemane 84,Wendell B. Harris Jr.,Comedy,Chameleon Street
Channel Four Films,Jon Amiel,Comedy,Queen of Hearts
American Playhouse,John David Coles,Drama,Signs of Life
Not specified,Michael Fischa,Action,Crack House
Edward R. Pressman Film,David Odell,Comedy,Martians Go Home
Alberta Motion Picture Development Corporation,Anne Wheeler,Drama,Bye Bye Blues
Les Productions Vidéofilms Ltée,Robert Ménard,Comedy,Cruising Bar
Clear Productions,Carl Reiner,Comedy,"Bert Rigby, You're a Fool"
Skouras Pictures,Jim Sotos,Comedy,Beverly Hills Brats
Columbia Pictures Corporation,Joel Schumacher,Drama,Flatliners
Warner Bros.,Martin Scorsese,Crime,Goodfellas
Bioskop Film,Volker Schlöndorff,Drama,The Handmaid's Tale
Castle Rock Entertainment,Rob Reiner,Crime,Misery
Carolco Pictures,Paul Verhoeven,Action,El vengador del futuro
Touchstone Pictures,Garry Marshall,Comedy,Pretty Woman
Hughes Entertainment,Chris Columbus,Comedy,Home Alone
Twentieth Century Fox Film Corporation,Tim Burton,Drama,Edward Scissorhands
Paramount Pictures,Francis Ford Coppola,Crime,The Godfather: Part III
Tig Productions,Kevin Costner,Adventure,Dances with Wolves
Paramount Pictures,John McTiernan,Action,The Hunt for Red October
Universal Pictures,John Lafia,Horror,Child's Play 2
Paramount Pictures,Jerry Zucker,Drama,Ghost
Universal Pictures,Ron Underwood,Comedy,Tremors
Warner Bros.,John Patrick Shanley,Comedy,Joe Versus the Volcano
PolyGram Filmed Entertainment,David Lynch,Comedy,Wild at Heart
Lorimar Film Entertainment,Nicolas Roeg,Adventure,The Witches
Carolco Pictures,Adrian Lyne,Drama,Jacob's Ladder
888 Productions,Steve Barron,Action,Teenage Mutant Ninja Turtles
Hollywood Pictures,Frank Marshall,Comedy,Arachnophobia
